trip_id,trip_date,city,vehicle_type,distance_km,fare,driver_id,passenger_count,payment_method,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,weather,traffic_level
625000,2025-01-13,Kathmandu,Bike,11.96,726.25,1645,1,Card,27.747978,85.684874,27.670422,85.436299,Cloudy,Medium
625001,2025-02-12,Pokhara,Taxi,28.94,1584.87,5459,3,Digital,27.58411,85.237653,27.888261,85.364349,Rainy,High
625002,2025-04-29,Lalitpur,Car,22.1,825.4,7822,2,Cash,27.565575,85.226213,27.549074,85.39325,Sunny,Low
625003,2025-06-09,Bhaktapur,Bike,5.91,1010.51,8021,1,Card,27.584024,85.472433,27.659389,85.315814,Cloudy,Medium
625004,2025-04-12,Biratnagar,Taxi,1.19,702.09,8565,4,Digital,27.640931,85.364948,27.589677,85.58296,Rainy,High
625005,2025-11-10,Kathmandu,Car,14.77,1448.09,3649,3,Cash,27.924779,85.527322,27.632998,85.241992,Sunny,Low
625006,2025-10-22,Pokhara,Bike,7.69,1078.06,8544,4,Card,27.783489,85.618167,27.630671,85.461273,Cloudy,Medium
625007,2025-04-10,Lalitpur,Taxi,29.21,106.64,7954,3,Digital,27.841877,85.520952,27.697598,85.281253,Rainy,High
625008,2025-01-10,Bhaktapur,Car,10.81,318.89,1899,2,Cash,27.775121,85.220839,27.671711,85.550771,Sunny,Low
625009,2025-08-13,Biratnagar,Bike,13.96,567.25,1205,2,Card,27.756931,85.551641,27.720399,85.233396,Cloudy,Medium
625010,2025-02-23,Kathmandu,Taxi,10.42,759.25,3066,1,Digital,27.732723,85.553115,27.805754,85.501661,Rainy,High
625011,2025-09-30,Pokhara,Car,9.4,418.25,8085,2,Cash,27.905382,85.603274,27.718127,85.494835,Sunny,Low
625012,2025-11-19,Lalitpur,Bike,20.42,1323.2,5436,3,Card,27.694947,85.58485,27.601658,85.582152,Cloudy,Medium
625013,2025-10-22,Bhaktapur,Taxi,3.75,404.98,1099,3,Digital,27.547589,85.245071,27.568076,85.279924,Rainy,High
625014,2025-12-12,Biratnagar,Car,16.3,179.98,7543,3,Cash,27.635514,85.357958,27.820145,85.321032,Sunny,Low
625015,2025-02-24,Kathmandu,Bike,18.02,794.36,7060,3,Card,27.748502,85.521,27.849403,85.631437,Cloudy,Medium
625016,2025-11-30,Pokhara,Taxi,2.44,944.98,7171,3,Digital,27.581408,85.54881,27.915558,85.528818,Rainy,High
625017,2025-12-27,Lalitpur,Car,15.42,443.79,4633,1,Cash,27.70193,85.392115,27.766853,85.433587,Sunny,Low
625018,2025-06-21,Bhaktapur,Bike,23.98,696.02,2104,1,Card,27.623531,85.455938,27.892949,85.486664,Cloudy,Medium
625019,2025-01-16,Biratnagar,Taxi,25.49,1083.68,7304,1,Digital,27.742403,85.572796,27.799014,85.290029,Rainy,High
625020,2025-08-12,Kathmandu,Car,9.56,524.93,8366,3,Cash,27.918727,85.63827,27.985631,85.432625,Sunny,Low
625021,2025-11-28,Pokhara,Bike,20.74,937.6,8508,1,Card,27.536016,85.622355,27.707574,85.440276,Cloudy,Medium
625022,2025-05-19,Lalitpur,Taxi,1.92,979.86,8116,4,Digital,27.657737,85.499781,27.704795,85.584509,Rainy,High
625023,2025-04-29,Bhaktapur,Car,10.03,1543.21,9769,3,Cash,27.569243,85.353124,27.63339,85.69896,Sunny,Low
625024,2025-02-04,Biratnagar,Bike,29.32,1509.45,1624,4,Card,27.825216,85.442248,27.928345,85.284869,Cloudy,Medium
625025,2025-02-08,Kathmandu,Taxi,23.47,1239.74,9557,2,Digital,27.760587,85.357755,27.509096,85.436162,Rainy,High
625026,2025-01-21,Pokhara,Car,26.2,1535.25,3935,4,Cash,27.906401,85.581884,27.597947,85.685223,Sunny,Low
